"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Framework Hardening","0","Test Data Management","1","0","Flyway Seed Verification","0"
"0","Framework Hardening","0","Test Data Management","1","0","Order Creation","0"
"1","Framework Hardening","1","Reporting Insights","1","1","Categories","0"
"0","Framework Hardening","1","Reporting Insights","1","0","Executive overview","0"
"0","Framework Hardening","0","Test Data Management","1","0","Order Counting","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Environment metadata","0"
"0","Framework Hardening","0","Test Data Management","1","0","Test Isolation","0"
